Source sentence,Answer sentence,Event1,Event2,labels
"Dataproducts Inc. said it filed a lawsuit in Delaware Chancery Court to block a tender offer by DPC Acquisition Partners , alleging that the hostile offer violates a standstill agreement between the two concerns . ",filed is the cause of offer ,filed ,offer ,Cause-Effect
"Young 's Market Co., a wholesaler of spirits , wines and other goods , said it will merge with a new corporation formed by the Underwood family , which controls Young 's . ",said and formed have no relationship,said ,formed ,NONE
"The plan was filed jointly with unsecured creditors in federal bankruptcy court in New York and must be approved by the court . But as the craze died , Coleco failed to come up with another winner and filed for bankruptcy-law protection in July 1988 . ",filed and come have no relationship,filed ,come ,NONE
Officials in California are warning residents that oncoming rains will cause dangerous and unpredictable landslides . ,rains is the cause of landslides ,rains ,landslides ,Cause-Effect
"That sale , however , could still fall through if financing problems develop . Thus , it remains crucial for RJR to obtain top dollar for its smaller assets like the candy brands . ",fall is the cause of remains ,fall ,remains ,Cause-Effect
"The major harm from Asia is likely to come from the plunge in the value of many Asian currencies relative to the dollar , a situation that is expected to lead to a surge of inexpensive imports into the United States , hurting American competitors . The job figures for January extended a surge in employment gains that began last fall , just when the labor market had showed signs of cooling . ",expected and gains have no relationship,expected ,gains ,NONE
"Ranariddh 's loyalists , including Nhek Bunchhay , his top military commander , went into hiding or fled the capital . Thai military officials who monitor Cambodian affairs said privately Thursday that Britain , through its embassies in Thailand and Cambodia , has been pushing hard to resolve the Howes case as the second anniversary of his abduction nears . ",went and pushing have no relationship,went ,pushing ,NONE
"Meanwhile in the capital , Ankara , a few hundred ethnic Albanians laid a black wreath at the gate of Yugoslavian embassy . At least 51 people were reported killed in clashes between Serb police and ethnic Albanians in the troubled region in recent days . ",laid and killed have no relationship,laid ,killed ,NONE
"The cash dividend paid on the common stock also will apply to the new shares , the company said . The move rewards shareholders and should improve the stock 's liquidity , Oneida said . ",said and rewards have no relationship,said ,rewards ,NONE
"Jayark Corp. agreed to pay $ 4 million in cash , $ 2 million of 12 % convertible debentures , and 1.6 million common shares to acquire closely held Kofcoh Imports Inc. The transaction is subject to approval by a panel of disinterested directors , the company said , adding that shareholder approval is n't needed . ",pay and needed have no relationship,pay ,needed ,NONE
"In national over-the-counter trading yesterday , POP plunged $ 4 to $ 14.75 . Heritage , which owns 51 % of POP 's 3.6 million shares outstanding , said it will exchange one share of a new preferred stock for each POP common share it does n't already own . ",plunged and said have no relationship,plunged ,said ,NONE
"In the year-ago quarter , the company reported net income of $ 1.9 million , or 29 cents a share . The Kearny , N.J.-based maker of hair accessories and other cosmetic products said it cut the dividend due to its third-quarter loss of $ 992,000 , or 15 cents a share . ",reported and loss have no relationship,reported ,loss ,NONE
"The opinion , which found the gender distinction reasonable , relied heavily on outmoded generalities about family roles , including the flawed presumption that mothers have a closer relationship to their children than fathers do . ",generalities is the cause of opinion ,generalities ,opinion ,Cause-Effect
"The assassination touched off a murderous rampage by Hutu security forces and civilians , who slaughtered mainly Tutsis but also Hutus who favored reconciliation with the minority . It also reignited the civil war . ",assassination is the cause of war ,assassination ,war ,Cause-Effect
"Hewlett - Packard affirmed it does n't plan to obtain control of Octel , a Milpitas , Calif . , maker of voice-processing systems . ",plan and affirmed have no relationship,plan ,affirmed ,NONE
"Actually , about two years ago , the Journal listed the creation of the money fund as one of the 10 most significant events in the world of finance in the 20th century . I was pleased to note that your Oct . 23 Centennial Journal item recognized the money-fund concept as one of the significant events of the past century . ",listed and recognized have no relationship,listed ,recognized ,NONE
The UN security council insists any deal must allow UN inspectors unrestricted access to all suspected weapons sites . ,deal is the cause of access ,deal ,access ,Cause-Effect
"In London at mid-afternoon yesterday , Ratners 's shares were up 2 pence ( 1.26 cents ) , at 260 pence ( $ 1.64 ) . The sweetened offer has acceptances from more than 50 % of Weisfield 's shareholders , and it is scheduled for completion by Dec . 10 . ",up and has have no relationship,up ,has ,NONE
